id,state,title,description,technologies,reference_1,reference_2,reference_3,reference_4,reference_5,reference_6,reference_7,reference_8,reference_9,reference_10,last_update
12282,CT,State Fleet Greenhouse Gas (GHG) Emissions Reduction,"A Steering Committee on State Sustainability (Committee) will direct
executive branch agencies to reduce GHG emissions from their vehicle
fleets by expanding the Lead by Example program. The Committee will
develop actions to achieve GHG reduction goals set by the governor. For
more information, including program updates, see the [Lead By Example
Initiative](https://www.ct.gov/deep/cwp/view.asp?a=4405&q=489980&deepNav_GID=2121)
website.

(Reference [Executive Order 1, 2019-1](https://portal.ct.gov/Office-of-the-Governor/Governors-Actions/Executive-Orders))",ELEC,"<a href = 'https://portal.ct.gov/Office-of-the-Governor/Governors-Actions/Executive-Orders' target = '_blank'>Executive Order 1, 2019-1</a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-25T15:18:49Z
12283,CT,State Building Electric Vehicle Charging Station Standards,"The Connecticut Department of Energy and Environment must develop
standards for construction of state buildings, which include standards
electric vehicle charging stations standards and meet or exceed
Leadership in Energy and Environmental Design (LEED) Silver levels.

(Reference [Connecticut General Statutes 216a-38k](http://www.cga.ct.gov/))",ELEC,<a href = 'https://www.cga.ct.gov/2019/ACT/pa/pdf/2019PA-00035-R00HB-05002-PA.pdf' target = '_blank'>Public Act 19-35</a>,"<a href = 'https://www.cga.ct.gov/asp/cgabillstatus/cgabillstatus.asp?selBillType=Bill&bill_num=HB05002&which_year=2019' target = '_blank'>House Bill 5002, 2019</a>",<a href = 'http://www.cga.ct.gov/' target = '_blank'>Connecticut General Statutes 216a-38k</a>,NA,NA,NA,NA,NA,NA,NA,2022-12-25T15:18:49Z
12300,OR,Zero Emission Vehicle (ZEV) Deployment,"The Oregon Department of Energy (ODOE) will monitor state ZEV adoption
goal progress for registered vehicles, new vehicle purchases, and the
state fleet. The state established the following goals for vehicle
registrations:

-   By 2020, 50,000 vehicles will be ZEV;
-   By 2025, 250,000 vehicles will be ZEV; and
-   By 2030, 25% of vehicles will be ZEV.

In addition, the state established the following goals for new vehicle
purchases:

-   By 2030, 50% of all new vehicle purchases will be ZEV; and
-   By 2035, 90% of all new vehicle purchases will be ZEV.

By 2029, all state fleet vehicles should be ZEVs. ODOE must submit a
[biennial
report](https://www.oregon.gov/energy/energy-oregon/Pages/BIZEV.aspx) by
September 15 on the status of ZEV adoption. If ZEV adoption goals are
not met, ODOE report must include strategies for increased adoption
rates.

(Reference [Oregon Revised Statutes](https://www.oregonlegislature.gov/)
283.327 and 283.398)
",ELEC,"<a href = 'https://olis.oregonlegislature.gov/liz/2019R1/Measures/Overview/SB1044' target = '_blank'>Senate Bill 1044, 2019</a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-25T15:18:49Z
12302,DE,Electric Cooperative Investments,"Unclaimed electric cooperative capital credits may be used on
transportation electrification investments. Credit allocation reports
are required annually by January 20.

(Reference [Delaware Code Title 26, Chapter 9, Subchapter I, Section 909](https://delcode.delaware.gov/))",ELEC,"<a href = 'https://delcode.delaware.gov/sessionlaws/ga150/chp178.shtml' target = '_blank'>House Bill 95, 2019</a>","<a href = 'https://delcode.delaware.gov/' target = '_blank'>Delaware Code Title 26, Chapter 9, Subchapter I, Section 909</a>",NA,NA,NA,NA,NA,NA,NA,NA,2022-12-25T15:18:49Z
12304,DE,Smart Grid Infrastructure Development,"All grid-integrated, plug-in electric vehicles in use by eligible
customers must meet applicable safety and performance standards put
forth by the National Electric Code, Institute of Electric and
Electronic Engineers, UL, and the Society of Automotive Engineers to
ensure that net metering customers comply with the electric supplier's
interconnection tariffs and operating guidelines.

(Reference [Delaware Code Title 26, Chapter 10, Section 1014e](https://delcode.delaware.gov/))",ELEC,"<a href = 'https://delcode.delaware.gov/sessionlaws/ga150/chp024.shtml' target = '_blank'>Senate Bill 12, 2019</a>","<a href = 'https://delcode.delaware.gov/' target = '_blank'>Delaware Code Title 26, Chapter 10, Section 1014e</a>","<a href = 'https://delcode.delaware.gov/sessionlaws/ga150/chp024.shtml' target = '_blank'>150th General Assembly, Senate Bill 12, 2019</a>",NA,NA,NA,NA,NA,NA,NA,2022-12-25T15:18:49Z
12308,IL,Transportation Electrification Infrastructure Projects ,"The Illinois Environmental Protection Agency (IEPA) will provide
transportation electrification grants of \$70,000,000 for, but not
limited to, electric vehicle charging infrastructure. The IEPA will
prioritize investments in medium- and heavy-duty vehicle charging, and
electrification of public transit, fleets, and school buses.

(Reference [Public Act 101-0029](https://www.ilga.gov/legislation/publicacts/default.asp))",ELEC,<a href = 'https://www.ilga.gov/legislation/publicacts/default.asp' target = '_blank'>Public Act 101-0029</a>,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-25T15:18:49Z
12309,CA,Zero Emission Transit Bus Tax Exemption,"Zero-emission transit buses are exempt from state sales and use taxes
when sold to public agencies eligible for the [Low Emission Truck and
Bus Purchase Vouchers](https://afdc.energy.gov/laws/8160). This
exemption expires January 1, 2026.

(Reference [California Revenue and Taxation Code 6377](https://leginfo.legislature.ca.gov/faces/home.xhtml))",ELEC,"<a href = 'https://oal.ca.gov/' target = '_blank'>Assembly Bill 784, 2019</a>",<a href = 'https://leginfo.legislature.ca.gov/faces/home.xhtml' target = '_blank'>California Revenue and Taxation Code 6377</a>,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-25T15:18:49Z
12315,CA,Electric Vehicle (EV) Grid Integration Requirements,"By December 31, 2020, the California Public Utilities Commission (PUC)
must establish strategies and metrics to maximize the use of EV grid
integration for a ten-year
[plan](https://gridworks.org/wp-content/uploads/2020/07/VGI-Working-Group-Final-Report-6.30.20.pdf).
The PUC must also consider how to limit cost increases for all
ratepayers. EV grid integration refers to any action that optimizes when
or how a EV is charged. Electrical corporations and community choice
aggregators serving more than 700 gigawatt-hours of annual electrical
demand, must provide the PUC with information relating to EV integration
strategies. Additional terms and conditions apply. (Reference
[California Public Utilities
Code](https://leginfo.legislature.ca.gov/faces/home.xhtml) 740.16)
",ELEC,"<a href = 'http://www.oal.ca.gov/' target = '_blank'>Senate Bill 676, 2019</a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-25T15:18:49Z
12337,IA,Public Utility Definition,"An entity providing electricity for the purpose of electric vehicle
charging is not considered a public utility. Regulated public utilities
cannot prohibit or restrict the sale of electricity at an electric
vehicle charging station.

(Reference [199 Iowa Administrative Code Rule 20.20(476)](https://www.legis.iowa.gov/))",ELEC,<a href = 'https://www.legis.iowa.gov/docs/aco/arc/4720C.pdf' target = '_blank'>ARC 4720C</a>,<a href = 'https://www.legis.iowa.gov/' target = '_blank'>199 Iowa Administrative Code Rule 20.20(476)</a>,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-25T15:18:49Z
12349,AZ,Electric Vehicle (EV) Definition and Implementation Plan,"The Arizona Corporation Commission (Commission) defines EVs as
transportation vehicles that use electricity for propulsion. The
Commission issued an EV policy statement that provides guidelines on
EVs, charging infrastructure, and transportation electrification to
utilities the Commission regulates. The policy addresses the state of
EVs in Arizona, EV benefits, and barriers to adoption. This policy
purposefully does not define the Commission's role with respect to EV
charging infrastructure operated by non-utilities at this time, but the
Commission will explore it in the future. For more information, see the
Commission's [EV policy
statement](https://docket.images.azcc.gov/0000195197.pdf) and the
[Corporation Commission](https://www.azcc.gov/) website.

(Reference [Docket RU-00000A-18-0284 decision number 77044](https://edocket.azcc.gov/))",ELEC,<a href = 'https://edocket.azcc.gov/' target = '_blank'>Docket RU-00000A-18-0284 decision number 77044</a>,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-25T15:18:49Z
12358,NJ,Electric Vehicle (EV) Charging Station Development,"Municipal master plans shall promote the installation of EV charging
stations in locations including commercial districts, public
transportation facilities, transportation corridors, and rest stops.

(Reference [New Jersey Statutes 40:55D-28, 40:55D-89, and 40A:12A-7](https://www.njleg.state.nj.us/))",ELEC,"<a href = 'https://www.njleg.state.nj.us/' target = '_blank'>Senate Bill 606, 2019</a>","<a href = 'https://www.njleg.state.nj.us/' target = '_blank'>New Jersey Statutes 40:55D-28, 40:55D-89, and 40A:12A-7</a>",NA,NA,NA,NA,NA,NA,NA,NA,2022-12-25T15:18:49Z
12369,NJ,Electric Vehicle (EV) and EV Charging Station Deployment Goals,"The State of New Jersey will work to increase the number of EVs and
related infrastructure to meet the following state goals:

-   10% of new buses purchased by the New Jersey Transit Corporation
    must be zero emission vehicles (ZEV) by December 31, 2024. Then 50%
    of new buses must be ZEV by December 31, 2026, and 100% must be ZEV
    by December 31, 2032.
-   By December 31, 2025, there must be 400 direct current fast charging
    (DCFC) stations and 1,000 Level 2 EV charging stations installed and
    available for public use at minimally 200 locations. 75 locations
    must include at least two DCFC stations installed along travel
    corridors, while 100 locations must include at least two DCFC
    stations in community locations. Additionally, 15% of all
    multi-family residential properties must include EV charging station
    infrastructure and 20% of all franchised overnight lodging must have
    EV charging stations available for guests.
-   By December 31, 2035, there will be 2 million registered light-duty
    EVs in the state, and 100% of state-owned, non-emergency light-duty
    vehicles must be EVs.
-   By December 31, 2040, 85% of all new light-duty vehicles sold in the
    state will be EVs.

The New Jersey Board of Public Utilities (NJBPU) must establish goals
for transportation electrification and infrastructure development for
medium- and heavy-duty on-road diesel vehicles and charging
infrastructure by December 31, 2020. For more information, see the NJBPU
[EV Incentive Programs](https://www.njcleanenergy.com/ev) website.

The New Jersey Department of Environmental Protection (NJDEP) develops
and implements a [public education
program](https://dep.nj.gov/drivegreen/destination-electric/) regarding
the availability and benefits of EVs, state EV goals, and the
availability of EV and EV charging station incentives.

NJDEP and NJBPU must prepare and submit a report to the governor and
legislature every five years on the state of the EV market in New
Jersey, progress towards achieving the above goals, barriers to the
achievement of the goals, and recommendations for legislative or
regulatory action to address barriers.

(Reference [New Jersey Statutes 48:25-3](https://www.njleg.state.nj.us/))",ELEC,"<a href = 'https://www.njleg.state.nj.us/' target = '_blank'>Senate Bill 2252, 2018</a>",<a href = 'https://www.njleg.state.nj.us/' target = '_blank'>New Jersey Statutes 48:25-3</a>,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-25T15:18:49Z
12371,NJ,Electric Vehicle (EV) Charging Station Rebate Program Authorization,"The New Jersey Board of Public Utilities is authorized to establish a
residential EV charging station incentive program.

(Reference [New Jersey Statutes 48:25-6](https://www.njleg.state.nj.us/))",ELEC,"<a href = 'https://www.njleg.state.nj.us/' target = '_blank'>Senate Bill 2252, 2018</a>",<a href = 'https://www.njleg.state.nj.us/' target = '_blank'>New Jersey Statutes 48:25-6</a>,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-25T15:18:49Z
12372,NJ,Public Utility Definition,"An entity that owns, controls, operates, or manages electric vehicle
supply equipment is not defined as a public utility.

(Reference [New Jersey Statutes 48:25-10](https://www.njleg.state.nj.us/))",ELEC,"<a href = 'https://www.njleg.state.nj.us/' target = '_blank'>Senate Bill 2252, 2018</a>",<a href = 'https://www.njleg.state.nj.us/' target = '_blank'>New Jersey Statutes 48:25-10</a>,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-25T15:18:49Z
12376,DE,Public Utility Definition,"An entity that owns, operates, controls, or manages a facility that
supplies electricity to the public exclusively to charge plug-in
electric vehicles is not defined as a public utility.

(Reference [Delaware Public Service Commission 19-0377](https://depsc.delaware.gov/))",ELEC,<a href = 'https://depsc.delaware.gov/' target = '_blank'>Delaware Public Service Commission 19-0377</a>,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-25T15:18:49Z
